,Interest Pages,Follower Counts,Follow Rate
0,Bill Gates,"30,900,517",11.884814230769232
1,Jack Welch,"7,247,992",2.7876892307692307
2,Richard Branson,"18,060,751",6.946442692307691
3,Microsoft,"13,319,487",5.122879615384616
4,Deloitte,"6,398,179",2.4608380769230767
5,Siemens,"4,205,547",1.6175180769230768
6,The Walt Disney Company,"4,123,877",1.5861065384615385
7,LinkedIn,"14,203,189",5.462765
8,Google,"20,165,918",7.756122307692308
9,Amazon,"17,815,807",6.852233461538463
10,Harvard Business Review,"11,714,366",4.5055253846153835
11,BBC News,"7,376,797",2.8372296153846155
12,Nike,"4,168,970",1.60345
13,The Wall Street Journal,"8,384,666",3.2248715384615387
14,Tetra Pak,"546,153",0.21005884615384607
15,Michael Page,"2,497,158",0.9604453846153844
16,Hays,"4,508,082",1.7338776923076924
17,Forbes,"15,472,309",5.950888076923077
18,Savills,"262,210",0.10085
19,Universidade Nova de Lisboa,"72,851",0.028019615384615386
20,YouTube,"1,049,849",0.4037880769230769
21,Expresso,"51,066",0.019640769230769232
22,Pestana Hotel Group,"95,247",0.03663346153846154
23,CTT - Correios de Portugal,"71,023",0.027316538461538455
24,Apple,"13,066,995",5.025767307692306
25,Netflix,"6,345,478",2.4405684615384606
26,TAP Air Portugal,"227,415",0.08746730769230769
27,The Economist,"11,891,071",4.573488846153847
28,Spotify,"1,774,107",0.6823488461538462
29,ConServe,"2,167",0.0008334615384615388
30,LR Health & Beauty Systems GmbH,"15,110",0.005811538461538462
31,RAY Human Capital Portugal,"43,098",0.016576153846153845
32,Whitestar Asset Solutions,"13,834",0.005320769230769231
33,Banco BPI,"60,951",0.02344269230769231
34,Adecco,"4,030,788",1.5503030769230768
35,Valor Econômico S/A,"1,035,020",0.3980846153846154
36,Van Ameyde Group,"3,586",0.0013792307692307693
37,Universidade Autónoma de Lisboa,"21,142",0.008131538461538461
38,SmartKISS,"1,136",0.0004369230769230769
39,DRAM Consultoria,563,0.00021653846153846154
40,CBRE Portugal,"11,088",0.004264615384615385
41,Livingbox PT,43,1.653846153846154e-05
42,Scopphu,"1,492",0.0005738461538461537
43,BIQ Health Solutions,"3,976",0.0015292307692307693
44,idealista Portugal,"9,599",0.0036919230769230774
45,Onda Grafe,211,8.115384615384616e-05
46,CASAFARI,"8,871",0.003411923076923077
47,Domínio Binário - Tecnologias de Informação,148,5.692307692307693e-05
48,Diário Imobiliário,"29,800",0.011461538461538459
49,Novo-Horizonte,31,1.1923076923076926e-05
50,GANT Sociedade de Mediação Imobiliária lda,19,7.307692307692308e-06
51,Atelier Renata Santos Machado,28,1.076923076923077e-05
52,Universidade Católica Portuguesa,"72,562",0.02790846153846153
53,Human Resources Portugal,"163,133",0.06274346153846154
54,Marfer,222,8.538461538461538e-05
55,New Balance,"250,532",0.09635846153846156
56,Caleres Inc.,"29,747",0.011441153846153846
57,Red Wing Shoe Co.,"15,398",0.005922307692307692
58,Eastland Shoe,"1,156",0.00044461538461538477
59,Meramec Group Inc.,683,0.00026269230769230764
60,SHOE SHOW INC.,"6,142",0.002362307692307693
61,SATRA Technology Centre,"4,950",0.001903846153846154
62,ITALIAN SHOE FACTORY,"6,646",0.002556153846153846
63,San Antonio Shoemakers (SAS),"1,181",0.00045423076923076916
64,Footwear News,"32,075",0.01233653846153846
